Date,Zone Enter Time,Zone Exit Time,Time (Mins),Time (Hrs),Distance (Home),Zone,Device
2025-02-07,2025-02-07 17:28:55,2025-02-07 17:44:00,15,0.25,0.00,approaching_home,device_tracker_alex_iphone_ic3
2025-02-07,2025-02-07 17:44:00,2025-02-07 17:44:00,0,0.00,0.00,home,device_tracker_alex_iphone_ic3
2025-02-07,2025-02-07 18:44:35,2025-02-07 20:33:25,109,1.82,0.00,approaching_home,device_tracker_alex_iphone_ic3
2025-02-07,2025-02-07 18:44:35,2025-02-07 20:33:25,109,1.82,0.00,approaching_home,device_tracker_alex_iphone_ic3
2025-02-11,2025-02-11 07:52:20,2025-02-11 08:07:40,15,0.25,0.16,approaching_home,device_tracker_alex_iphone_ic3
2025-02-11,2025-02-11 07:52:20,2025-02-11 08:07:40,15,0.25,0.16,approaching_home,device_tracker_alex_iphone_ic3
2025-02-11,2025-02-11 08:36:35,2025-02-11 08:51:55,15,0.25,0.00,approaching_home,device_tracker_alex_iphone_ic3
2025-02-11,2025-02-11 08:36:35,2025-02-11 08:51:55,15,0.25,0.00,approaching_home,device_tracker_alex_iphone_ic3
2025-02-12,2025-02-12 15:10:40,2025-02-12 15:25:45,15,0.25,0.00,approaching_home,device_tracker_alex_iphone_ic3
2025-02-12,2025-02-12 15:10:40,2025-02-12 15:25:45,15,0.25,0.00,approaching_home,device_tracker_alex_iphone_ic3
2025-02-13,2025-02-13 12:43:35,2025-02-13 12:58:55,15,0.25,1.41,approaching_home,device_tracker_alex_iphone_ic3
2025-02-13,2025-02-13 12:43:35,2025-02-13 12:58:55,15,0.25,1.41,approaching_home,device_tracker_alex_iphone_ic3
2025-02-17,2025-02-17 14:10:40,2025-02-17 14:26:00,15,0.25,1.36,approaching_home,device_tracker_alex_iphone_ic3
2025-02-17,2025-02-17 14:10:40,2025-02-17 14:26:00,15,0.25,1.36,approaching_home,device_tracker_alex_iphone_ic3
2025-02-17,2025-02-17 14:53:07,2025-02-17 15:08:25,15,0.25,0.00,approaching_home,device_tracker_alex_iphone_ic3
2025-02-17,2025-02-17 15:08:25,2025-02-17 15:08:25,0,0.00,0.00,home,device_tracker_alex_iphone_ic3
2025-02-17,2025-02-17 16:32:25,2025-02-17 16:47:30,15,0.25,0.00,approaching_home,device_tracker_alex_iphone_ic3
2025-02-17,2025-02-17 16:32:25,2025-02-17 16:47:30,15,0.25,0.00,approaching_home,device_tracker_alex_iphone_ic3
2025-02-20,2025-02-20 10:41:40,2025-02-20 10:56:40,15,0.25,2.32,approaching_home,device_tracker_alex_iphone_ic3
2025-02-20,0000-00-00 00:00:00,2025-02-20 10:56:40,0,0.00,2.32,,device_tracker_alex_iphone_ic3

2025-07-20,2025-07-20 14:55:10,2025-07-20 15:08:30,13,0.22,0.07,approaching_home,device_tracker_alex_iphone_ic3
2025-07-27,2025-07-27 12:25:30,2025-07-27 12:42:00,16,0.27,0.00,approaching_home,device_tracker_alex_iphone_ic3
2025-08-03,2025-08-03 17:24:55,2025-08-03 17:29:15,4,0.07,0.00,approaching_home,device_tracker_alex_iphone_ic3
2025-08-10,2025-08-10 16:45:55,2025-08-10 16:49:35,4,0.07,0.84,approaching_home,device_tracker_alex_iphone_ic3
2025-08-10,2025-08-10 17:46:10,2025-08-10 17:49:40,4,0.07,0.32,approaching_home,device_tracker_alex_iphone_ic3
2025-08-10,2025-08-10 18:19:05,2025-08-10 18:22:45,4,0.07,0.00,approaching_home,device_tracker_alex_iphone_ic3
2025-08-11,2025-08-11 13:15:05,2025-08-11 13:18:35,4,0.07,0.34,approaching_home,device_tracker_alex_iphone_ic3
2025-08-21,2025-08-21 15:10:15,2025-08-21 15:20:20,10,0.17,0.08,approaching_home,device_tracker_alex_iphone_ic3